GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Charts Coverage/core,de.slothsoft.sprintsim.simulation,Simulation,30,198,0,4,11,41,6,20,6,18
Charts Coverage/core,de.slothsoft.sprintsim.simulation,SimulationListener.Adapter,0,7,0,0,0,5,0,5,0,5
Charts Coverage/core,de.slothsoft.sprintsim.simulation,SimulationResult,0,15,0,0,0,6,0,3,0,3
Charts Coverage/core,de.slothsoft.sprintsim.simulation,SimulationInfo,0,27,0,0,0,10,0,5,0,5
Charts Coverage/core,de.slothsoft.sprintsim.simulation,Messages,12,8,0,0,2,2,0,2,0,2
Charts Coverage/core,de.slothsoft.sprintsim.simulation,LoggingSprintsSimulationListener,6,231,0,2,2,38,2,13,2,12
Charts Coverage/core,de.slothsoft.sprintsim.simulation,LoggingOneSprintSimulationListener,6,209,0,2,2,35,2,11,2,10
Charts Coverage/core,de.slothsoft.sprintsim.simulation,LoggingSimulationListener,11,297,0,8,4,36,3,19,3,15
Charts Coverage/core,de.slothsoft.sprintsim,StandardPerformance.new StandardPerformance() {...},0,8,0,0,0,2,0,2,0,2
Charts Coverage/core,de.slothsoft.sprintsim,StandardPerformance.new StandardPerformance() {...},0,8,0,0,0,2,0,2,0,2
Charts Coverage/core,de.slothsoft.sprintsim,StandardPerformance,0,34,0,0,0,4,0,1,0,1
Charts Coverage/core,de.slothsoft.sprintsim,Member,0,97,0,0,0,28,0,16,0,16
Charts Coverage/core,de.slothsoft.sprintsim,StandardPerformance.new StandardPerformance() {...},0,8,0,0,0,2,0,2,0,2
Charts Coverage/core,de.slothsoft.sprintsim,Complexity,0,34,0,0,0,4,0,1,0,1
Charts Coverage/core,de.slothsoft.sprintsim,Task,0,43,0,0,0,13,0,7,0,7
Charts Coverage/core,de.slothsoft.sprintsim,Sprint,0,37,0,0,0,14,0,7,0,7
Charts Coverage/core,de.slothsoft.sprintsim.config,TaskConfig,23,53,1,3,4,20,4,10,3,8
Charts Coverage/core,de.slothsoft.sprintsim.config,SprintConfig,20,44,0,0,8,9,4,7,4,7
Charts Coverage/core,de.slothsoft.sprintsim.config,TaskCreator,9,26,0,0,4,9,2,5,2,5
Charts Coverage/core,de.slothsoft.sprintsim.io,Logger,0,16,0,0,0,6,0,2,0,2
Charts Coverage/core,de.slothsoft.sprintsim.io,Messages,12,8,0,0,2,2,0,2,0,2
Charts Coverage/core,de.slothsoft.sprintsim.io,TaskWriter,36,219,2,16,8,55,10,19,8,12
Charts Coverage/core,de.slothsoft.sprintsim.io,LogTableWriter,16,192,1,7,5,33,4,16,3,13
Charts Coverage/core,de.slothsoft.sprintsim.generation,SprintGenerator,3,272,0,10,1,59,1,22,1,17
Charts Coverage/core,de.slothsoft.sprintsim.generation,SprintPlanning,0,23,0,0,0,8,0,4,0,4
Charts Coverage/core,de.slothsoft.sprintsim.execution,SprintExecutor,0,205,0,10,0,36,0,17,0,12
Charts Coverage/core,de.slothsoft.sprintsim.execution,SprintRetro,0,28,0,0,0,9,0,4,0,4
